證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","16610000","2011424900","119.80","121.45","119.80","120.95","2.8000","11631"
"0051","元大中型100","25000","1366450","54.50","54.85","54.35","54.75","0.9500","23"
"0052","富邦科技","321000","32052300","98.65","100.40","98.65","99.40","2.3500","173"
"0053","元大電子","8000","459500","57.30","57.70","57.30","57.70","1.7000","5"
"0055","元大MSCI金融","319000","7535500","23.68","23.68","23.56","23.58","0.1700","181"
"0056","元大高股息","22018000","632857530","28.52","28.92","28.50","28.86","0.7600","11189"
"0057","富邦摩台","22000","1859650","84.00","84.65","84.00","84.55","1.9500","4"
"0061","元大寶滬深","150000","3148310","20.82","21.12","20.82","20.97","0.2300","88"
"006203","元大MSCI台灣","7000","408150","58.00","58.65","58.00","58.50","1.4000","7"
"006204","永豐臺灣加權","20000","1574600","78.60","78.90","78.60","78.75","1.7000","8"
"006205","富邦上証","1038000","36262380","34.55","35.11","34.55","34.77","0.4100","365"
"006206","元大上證50","195000","6613190","33.50","34.04","33.50","33.84","0.6900","97"
"006207","FH滬深","162000","4505620","27.72","27.97","27.65","27.68","0.2100","45"
"006208","富邦台50","3118000","217399950","69.00","70.00","69.00","69.50","1.5000","2175"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","10515000","1136556350","107.00","109.10","106.75","107.95","3.9500","2510"
"00632R","元大台灣50反1","277391000","1593760120","5.79","5.79","5.72","5.75","-0.1200","11143"
"00633L","富邦上証正2","11697000","579692990","48.69","50.25","48.60","49.06","1.2400","2731"
"00634R","富邦上証反1","1279000","5209340","4.12","4.12","4.04","4.09","-0.0600","157"
"00635U","期元大S&P黃金","682000","16503250","24.12","24.23","24.12","24.21","0.1500","110"
"00636","國泰中國A50","1658000","39943460","23.85","24.22","23.85","23.96","0.3100","526"
"00636K","國泰中國A50+U","200","1634","8.17","8.17","8.17","8.17","0.1800","2"
"00637L","元大滬深300正2","110037000","2156606740","19.32","19.90","19.23","19.44","0.5100","14704"
"00638R","元大滬深300反1","1499000","12903300","8.63","8.70","8.55","8.63","-0.1700","288"
"00639","富邦深100","1399000","20975840","14.73","15.06","14.73","14.92","0.2100","305"
"00640L","富邦日本正2","325000","8595740","26.16","26.60","26.16","26.47","0.4800","115"
"00641R","富邦日本反1","474000","4871470","10.24","10.32","10.24","10.28","-0.1000","88"
"00642U","期元大S&P石油","2096000","44620830","20.99","21.45","20.99","21.28","0.5000","560"
"00643","群益深証中小","263000","4615840","17.44","17.68","17.44","17.54","0.2700","107"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","137000","3423690","24.88","25.03","24.88","24.99","0.2100","51"
"00646","元大S&P500","1003000","35861630","35.60","35.93","35.58","35.75","0.6400","420"
"00647L","元大S&P500正2","1244000","66475750","52.90","53.85","52.85","53.40","2.2000","236"
"00648R","元大S&P500反1","5900000","44578400","7.60","7.60","7.51","7.53","-0.1900","457"
"00650L","FH香港正2","6220000","111840880","17.49","18.32","17.39","18.00","0.8700","1123"
"00651R","FH香港反1","1248000","9938030","8.16","8.16","7.90","7.96","-0.2100","161"
"00652","富邦印度","168000","4466820","26.49","26.69","26.48","26.57","0.3200","104"
"00653L","富邦印度正2","566000","20419900","35.50","36.28","35.50","35.95","0.7500","186"
"00654R","富邦印度反1","579000","5176450","8.97","9.00","8.91","8.96","-0.1600","91"
"00655L","國泰中國A50正2","4891000","175415690","35.23","36.43","35.20","35.57","0.9900","1184"
"00656R","國泰中國A50反1","515000","3965320","7.79","7.79","7.65","7.73","-0.1300","118"
"00657","國泰日經225","44000","1370700","31.15","31.20","31.14","31.20","0.4600","4"
"00657K","國泰日經225+U","200","2108","10.54","10.54","10.54","10.54","0.2200","2"
"00660","元大歐洲50","126000","3266440","25.85","26.00","25.85","25.92","0.5200","13"
"00661","元大日經225","10000","333390","33.22","33.48","33.22","33.48","0.5600","4"
"00662","富邦NASDAQ","663000","30659190","46.02","46.47","46.01","46.19","0.9100","336"
"00663L","國泰臺灣加權正2","659000","65207650","97.35","99.35","97.35","98.45","3.8000","54"
"00664R","國泰臺灣加權反1","31235000","203050910","6.55","6.55","6.47","6.52","-0.1200","1157"
"00665L","富邦恒生國企正2","8076000","98859070","11.80","12.56","11.80","12.23","0.5800","1268"
"00666R","富邦恒生國企反1","252000","3391920","13.61","13.62","13.38","13.54","-0.3600","29"
"00668","國泰美國道瓊","81000","2739500","33.76","33.95","33.73","33.82","0.4900","32"
"00668K","國泰美國道瓊+U","200","2290","11.45","11.45","11.45","11.45","0.2700","2"
"00669R","國泰美國道瓊反1","6790000","57709940","8.55","8.55","8.46","8.49","-0.1900","663"
"00670L","富邦NASDAQ正2","5100000","329532700","64.10","65.40","64.00","64.80","3.1500","1308"
"00671R","富邦NASDAQ反1","40860000","254299590","6.27","6.27","6.18","6.22","-0.1800","1818"
"00673R","期元大S&P原油反1","57007000","434340150","7.78","7.78","7.57","7.61","-0.1800","4869"
"00674R","期元大S&P黃金反1","476000","6088590","12.80","12.83","12.77","12.78","-0.1100","124"
"00675L","富邦臺灣加權正2","2425000","103612110","42.15","43.03","42.11","42.54","1.5800","676"
"00676R","富邦臺灣加權反1","25194000","89605220","3.59","3.59","3.54","3.56","-0.0800","744"
"00678","群益NBI生技","397000","9206040","23.16","23.23","23.11","23.20","0.2300","35"
"00680L","元大美債20正2","769000","10952450","14.37","14.37","14.14","14.15","-0.5800","191"
"00681R","元大美債20反1","83000","1418600","16.92","17.13","16.92","17.13","0.2800","47"
"00682U","期元大美元指數","58000","1186320","20.44","20.49","20.44","20.45","-0.0500","20"
"00683L","期元大美元指正2","633000","13664820","21.61","21.64","21.56","21.56","-0.1300","109"
"00684R","期元大美元指反1","10000","163500","16.35","16.35","16.35","16.35","-0.0100","2"
"00685L","群益臺灣加權正2","21000","790040","37.36","37.93","37.36","37.80","1.6000","11"
"00686R","群益臺灣加權反1","206000","796000","3.88","3.88","3.85","3.87","-0.0700","43"
"00688L","國泰20年美債正2","471000","6688150","14.32","14.33","14.06","14.10","-0.5500","82"
"00689R","國泰20年美債反1","14000","248660","17.68","17.79","17.68","17.79","0.2700","10"
"00690","兆豐藍籌30","107000","3127400","29.15","29.36","29.14","29.14","0.4400","9"
"00692","富邦公司治理","2428000","75524090","30.82","31.22","30.82","31.01","0.5900","1498"
"00693U","期街口S&P黃豆","263000","6676050","25.22","25.50","25.22","25.47","0.2500","100"
"00700","富邦恒生國企","500000","7311510","14.35","14.75","14.35","14.57","0.3200","102"
"00701","國泰股利精選30","868000","21376730","24.57","24.67","24.55","24.58","0.2000","420"
"00702","國泰標普低波高息","123000","2610330","21.20","21.25","21.20","21.23","0.3200","9"
"00703","台新MSCI中國","159000","2850890","17.57","18.10","17.54","17.77","0.3400","62"
"00706L","期元大S&P日圓正2","1973000","20549870","10.43","10.45","10.39","10.39","-0.0300","278"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","785000","20688290","26.21","26.44","26.20","26.44","0.3200","201"
"00709","富邦歐洲","114000","2383420","20.89","20.93","20.87","20.88","0.4100","15"
"00710B","FH彭博非投等債","444000","7562010","17.05","17.06","17.00","17.02","0.0100","79"
"00711B","FH彭博新興債","221000","3494330","15.89","15.89","15.81","15.81","-0.0800","25"
"00712","FH富時不動產","3063000","34246190","11.20","11.22","11.15","11.20","0.2300","1055"
"00713","元大台灣高息低波","421000","17493330","41.64","41.64","41.43","41.52","0.2800","178"
"00714","群益道瓊美國地產","618000","12371140","20.04","20.04","19.98","20.02","0.3100","329"
"00715L","期街口布蘭特正2","13054000","291372200","21.71","22.72","21.71","22.34","0.8700","2328"
"00717","富邦美國特別股","296000","4388350","14.81","14.88","14.80","14.84","0.1200","144"
"00728","第一金工業30","304000","7073850","23.09","23.40","23.09","23.25","0.4100","170"
"00730","富邦臺灣優質高息","254000","4434010","17.46","17.49","17.36","17.47","0.3000","233"
"00731","FH富時高息低波","1045000","61351150","58.45","58.80","58.45","58.75","0.4500","48"
"00732","國泰RMB短期報酬","100000","4093000","40.93","40.93","40.93","40.93","-0.1400","4"
"00733","富邦臺灣中小","294000","10279940","34.79","35.10","34.73","34.98","0.7900","114"
"00735","國泰臺韓科技","108000","2776440","25.60","25.76","25.60","25.76","0.6600","10"
"00736","國泰新興市場","104000","2073770","19.96","19.99","19.87","19.87","0.2300","7"
"00737","國泰AI+Robo","514000","13266030","25.65","25.89","25.65","25.82","0.5100","72"
"00738U","期元大道瓊白銀","740000","16017130","21.43","21.72","21.42","21.70","0.3100","104"
"00739","元大MSCI A股","100000","2613030","26.00","26.30","25.99","26.02","0.2700","58"
"00743","國泰中國A150","8000","215110","26.90","26.98","26.83","26.98","0.4800","4"
"00752","中信中國50","8397000","175237940","20.40","21.11","20.39","20.78","0.5200","1932"
"00753L","中信中國50正2","12624000","206728680","15.90","16.76","15.90","16.33","0.7600","2474"
"00757","統一FANG+","1297000","49456220","38.00","38.39","37.80","38.15","1.2300","562"
"00762","元大全球AI","558000","18409640","32.79","33.12","32.79","32.95","1.0200","94"
"00763U","期街口道瓊銅","48000","1172700","24.29","24.53","24.29","24.43","0.0100","22"
"00770","國泰北美科技","145000","4257870","29.32","29.53","29.28","29.36","0.7400","19"
"00771","元大US高息特別股","25000","413150","16.51","16.54","16.51","16.52","0.1100","17"
"00774B","新光中國政金綠債","3000","123600","41.30","41.30","41.15","41.15","-0.1500","3"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","51000","1720160","33.72","33.76","33.72","33.73","-0.2600","10"
"00783","富邦中証500","338000","7463210","21.86","22.17","21.86","21.96","0.1000","35"
"008201","BP上證50","200","22140","110.35","111.05","110.35","111.05","2.7500","2"
"00830","國泰費城半導體","7410000","173437510","23.36","23.55","23.27","23.46","0.7000","1966"
"00850","元大臺灣ESG永續","933000","29312400","31.26","31.54","31.24","31.33","0.5200","587"
"00851","台新全球AI","12000","306600","25.45","25.69","25.43","25.61","0.8000","12"
"00852L","國泰美國道瓊正2","2038000","36013320","17.56","17.82","17.56","17.72","0.6600","402"
"00861","元大全球未來通訊","841000","22521760","26.57","26.87","26.57","26.74","0.3900","167"
"00865B","國泰US短期公債","105000","4046670","38.57","38.57","38.50","38.50","-0.1600","8"
"00875","國泰網路資安","284000","7476900","26.22","26.43","26.21","26.33","0.5700","90"
"00876","元大全球5G","3532000","87870890","24.55","24.92","24.55","24.83","0.6000","662"
"00878","國泰永續高股息","27431000","472706500","17.22","17.28","17.19","17.21","0.1500","8639"
"00881","國泰台灣5G+","11935000","176246620","14.63","14.84","14.63","14.73","0.2800","4155"
"00882","中信中國高股息","4349000","58179620","13.34","13.43","13.34","13.38","0.1000","1251"
"00885","富邦越南","17250000","238281700","13.80","13.86","13.76","13.85","0.0800","3978"
"00891","中信關鍵半導體","11809000","145191000","12.15","12.38","12.15","12.28","0.3200","2970"
"00892","富邦台灣半導體","8843000","104812690","11.73","11.95","11.73","11.84","0.3200","2197"
"00893","國泰智能電動車","23814000","319232600","13.36","13.50","13.36","13.39","0.2900","5220"
"00894","中信小資高價30","1918000","23168930","11.90","12.16","11.90","12.06","0.3200","369"
"00895","富邦未來車","4609000","62898100","13.56","13.72","13.55","13.66","0.3400","1203"
